s,m
Time,L_F
 0.0000000E+000, 0.0000000E+000
 1.0171091E+000, 0.0000000E+000
 2.0040673E+000, 0.0000000E+000
 3.0026717E+000, 0.0000000E+000
 4.0036137E+000, 0.0000000E+000
 5.0036343E+000, 0.0000000E+000
 6.0003614E+000, 0.0000000E+000
 7.0034946E+000, 0.0000000E+000
 8.0029633E+000, 0.0000000E+000
 9.0005845E+000, 0.0000000E+000
 1.0000747E+001, 0.0000000E+000
 1.1002226E+001, 4.6077271E+000
 1.2000053E+001, 4.7832292E+000
 1.3004074E+001, 4.9347121E+000
 1.4001442E+001, 4.8846501E+000
 1.5001955E+001, 4.8863197E+000
 1.6001798E+001, 4.8569100E+000
 1.7003218E+001, 4.7904169E+000
 1.8001474E+001, 4.7281153E+000
 1.9004149E+001, 4.7353932E+000
 2.0003324E+001, 4.7156706E+000
 2.1000542E+001, 4.7259722E+000
 2.2003643E+001, 4.6888197E+000
 2.3000543E+001, 4.6976053E+000
 2.4002822E+001, 4.6961894E+000
 2.5003975E+001, 4.6997235E+000
 2.6004001E+001, 4.6735702E+000
 2.7002852E+001, 4.7087491E+000
 2.8000318E+001, 4.6881763E+000
 2.9001621E+001, 4.6859494E+000
 3.0000000E+001, 4.6872440E+000
